Burj Khalifa,Dubai,AE,828,163,2010,steel/concrete,office / residential / hotel,2004,"309,473"
Shanghai Tower,Shanghai,CN,632,128,2015,composite,hotel / office,2009,"420,000"
Makkah Royal Clock Tower,Mecca,SA,601,120,2012,steel/concrete,other / hotel,2002,"310,638"
Ping An Finance Center,Shenzhen,CN,599.1,115,2017,composite,office,2010,"459,187"
Lotte World Tower,Seoul,KR,554.5,123,2017,composite,hotel / residential / office / retail,2011,"304,081"
One World Trade Center,New York City,US,541.3,94,2014,composite,office,2006,"325,279"
Guangzhou CTF Finance Centre,Guangzhou,CN,530,111,2016,composite,hotel / residential / office,2010,"398,000"
CITIC Tower,Beijing,CN,527.7,109,2018,composite,office,2013,"437,000"
TAIPEI 101,Taipei,TW,508,101,2004,composite,office,1999,"198,347"
Shanghai World Financial Center,Shanghai,CN,492,101,2008,composite,hotel / office,1997,"381,600"
International Commerce Centre,Hong Kong,CN,484,108,2010,composite,hotel / office,2002,"274,064"
Vincom Landmark 81,Ho Chi Minh City,VN,461.3,81,2018,composite,hotel / residential,2015,"249,000"
Changsha IFS Tower T1,Changsha,CN,452.1,94,2018,composite,hotel / office,2013,"300,000"
Petronas Twin Tower 1,Kuala Lumpur,MY,451.9,88,1998,composite,office,1992,"197,500"
Petronas Twin Tower 2,Kuala Lumpur,MY,451.9,88,1998,composite,office,1992,"197,500"
Zifeng Tower,Nanjing,CN,450,66,2010,composite,hotel / office,2005,"137,529"
Willis Tower,Chicago,US,442.1,108,1974,steel,office,1970,"423,638"
KK100,Shenzhen,CN,441.8,100,2011,composite,hotel / office,2007,"220,000"
Guangzhou International Finance Center,Guangzhou,CN,438.6,103,2010,composite,hotel / office,2006,"250,095"
432 Park Avenue,New York City,US,425.7,85,2015,concrete,residential,2011,"65,497"
Marina 101,Dubai,AE,425,101,2017,concrete,residential / hotel,2006,"120,706"
Trump International Hotel & Tower,Chicago,US,423.2,98,2009,concrete,residential / hotel,2005,"241,548"
Jin Mao Tower,Shanghai,CN,420.5,88,1999,composite,hotel / office,1994,"289,500"
Princess Tower,Dubai,AE,413.4,101,2012,steel/concrete,residential,2006,"171,175"
Al Hamra Tower,Kuwait City,KW,412.6,80,2011,concrete,office,2005,"178,061"
Two International Finance Centre,Hong Kong,CN,412,88,2003,composite,office,2000,"185,805"
China Resources Tower,Shenzhen,CN,392.5,68,2018,composite,office,2014,"193,220"
23 Marina,Dubai,AE,392.4,88,2012,concrete,residential,2006,"139,596"
CITIC Plaza,Guangzhou,CN,390.2,80,1996,composite,office,1993,"205,239"
30 Hudson Yards,New York City,US,386.6,73,2019,steel/concrete,office / retail,2014,"361,993"
Shun Hing Square,Shenzhen,CN,384,69,1996,composite,office,1993,"280,000"
Eton Place Dalian Tower 1,Dalian,CN,383.2,80,2016,composite,hotel / office,,"145,380"
Nanning Logan Century 1,Nanning,CN,381.3,82,2018,composite,hotel / office,2013,
Burj Mohammed Bin Rashid,Abu Dhabi,AE,381.2,88,2014,concrete,residential,2007,
Empire State Building,New York City,US,381,102,1931,steel,office,1930,"208,879"
Elite Residence,Dubai,AE,380.5,87,2012,concrete,residential,2007,"140,013"
Central Plaza,Hong Kong,CN,373.9,78,1992,concrete,office,1989,"130,140"
Federation Tower,Moscow,RU,373.7,93,2016,concrete,residential / office,,
The Address Boulevard,Dubai,AE,370,73,2017,concrete,residential / hotel / retail,2012,
Bank of China Tower,Hong Kong,CN,367.4,72,1990,composite,office,1985,"135,000"
Bank of America Tower,New York City,US,365.8,55,2009,composite,office,2004,"195,095"
Almas Tower,Dubai,AE,360,68,2008,concrete,office,2005,"160,000"
Hanking Center Tower,Shenzhen,CN,358.9,65,2018,composite,office,2013,"185,806"
Gevora Hotel,Dubai,AE,356.3,75,2017,steel/concrete,hotel,2005,
JW Marriott Marquis Hotel Dubai Tower 1,Dubai,AE,355.4,82,2012,concrete,hotel,2006,"97,944"
JW Marriott Marquis Hotel Dubai Tower 2,Dubai,AE,355.4,82,2013,concrete,hotel,2006,"97,944"
Emirates Tower One,Dubai,AE,354.6,54,2000,composite,office,,
OKO - Residential Tower,Moscow,RU,354.2,90,2015,concrete,residential / serviced apartments / hotel,2011,
The Torch,Dubai,AE,352,86,2011,concrete,residential,2005,"94,306"
Forum 66 Tower 1,Shenyang,CN,350.6,68,2015,composite,hotel / office,2008,
The Pinnacle,Guangzhou,CN,350.3,60,2012,concrete,office,2008,"155,635"
85 Sky Tower,Kaohsiung,TW,347.5,85,1997,steel,hotel / office / retail,1994,"306,337"
Aon Center,Chicago,US,346.3,83,1973,steel,office,1970,"334,448"
The Center,Hong Kong,CN,346,73,1998,steel,office,1995,"130,032"
875 North Michigan Avenue,Chicago,US,343.7,100,1969,steel,residential / office,1965,"260,126"
Four Seasons Place,Kuala Lumpur,MY,342.5,65,2018,concrete,residential / hotel,2013,
ADNOC Headquarters,Abu Dhabi,AE,342,65,2015,concrete,office,2009,
Comcast Technology Center,Philadelphia,US,341.7,59,2018,composite,hotel / office,2014,"123,560"
One Shenzhen Bay Tower 7,Shenzhen,CN,341.4,71,2018,composite,residential / hotel / office,2014,"162,568"
Wuxi International Finance Square,Wuxi,CN,339,68,2014,composite,hotel / office,2011,
Chongqing World Financial Center,Chongqing,CN,338.9,72,2015,composite,hotel / office,2010,
Mercury City Tower,Moscow,RU,338.8,75,2013,concrete,residential / office,2006,"173,960"
Suning Plaza Tower 1,Zhenjiang,CN,338,75,2018,composite,hotel / serviced apartments / SOHO / office,2012,
Tianjin Modern City Office Tower,Tianjin,CN,338,65,2016,composite,office,2011,
Tianjin World Financial Center,Tianjin,CN,336.9,75,2011,composite,office,2007,"203,953"
Wilshire Grand Center,Los Angeles,US,335.3,73,2017,composite,hotel / office,2013,"187,027"
DAMAC Heights,Dubai,AE,335.1,88,2018,concrete,residential,2011,"89,579"
Shimao International Plaza,Shanghai,CN,333.3,60,2006,concrete,hotel / office / retail,2001,"91,600"
Rose Rayhaan by Rotana,Dubai,AE,333,71,2007,composite,hotel,2004,"50,569"
Minsheng Bank Building,Wuhan,CN,331,68,2008,steel,office,2001,"110,000"
China World Tower,Beijing,CN,330,74,2010,composite,hotel / office,2005,"280,000"
Yuexiu Fortune Center Tower 1,Wuhan,CN,330,68,2017,composite,office,2012,"205,600"
Hon Kwok City Center,Shenzhen,CN,329.4,80,2017,composite,residential / office,2010,
3 World Trade Center,New York City,US,328.9,69,2018,composite,office,2010,"260,129"
Zhuhai St. Regis Hotel & Office Tower,Zhuhai,CN,328.8,66,2017,composite,hotel / office,2013,
Keangnam Hanoi Landmark Tower,Hanoi,VN,328.6,72,2012,concrete,hotel / residential / office,2008,
Longxi International Hotel,Wuxi,CN,328,72,2011,composite,residential / hotel,2007,
Al Yaqoub Tower,Dubai,AE,328,69,2013,concrete,hotel / office,2006,
Wuxi Suning Plaza 1,Wuxi,CN,328,67,2014,composite,hotel / serviced apartments / office,2010,"116,580"
Baoneng Center,Shenzhen,CN,327.3,65,2018,composite,office,2014,
Salesforce Tower,San Francisco,US,326.1,61,2018,composite,office,2014,"130,064"
The Index,Dubai,AE,326,80,2010,concrete,residential / office,2005,"170,400"
The Landmark,Abu Dhabi,AE,324,72,2013,concrete,residential / office,2006,"158,645"
Deji Plaza,Nanjing,CN,324,62,2013,composite,hotel / office,2009,"150,500"
Yantai Shimao No. 1 The Harbour,Yantai,CN,323,59,2017,composite,residential / hotel / office,2008,"277,000"
Q1 Tower,Gold Coast,AU,322.5,78,2005,concrete,residential,2002,"107,510"
Wenzhou Trade Center,Wenzhou,CN,321.9,68,2011,concrete,hotel / office,2002,"174,361"
Guangxi Finance Plaza,Nanning,CN,321,68,2017,composite,hotel / office,2010,"219,000"
Burj Al Arab,Dubai,AE,321,56,1999,composite,hotel,1994,"120,000"
Nina Tower,Hong Kong,CN,320.4,80,2006,concrete,hotel / office,1999,
Sinar Mas Center 1,Shanghai,CN,320,65,2017,composite,office,2009,
Chrysler Building,New York City,US,318.9,77,1930,steel,office,1928,"111,201"
Global City Square,Guangzhou,CN,318.9,67,2016,composite,office,2011,"180,649"
New York Times Tower,New York City,US,318.8,52,2007,steel,office,2004,"143,601"
Jiuzhou International Tower,Nanning,CN,318,71,2017,composite,office,2012,
Fanya International Finance Building North,Kunming,CN,317.8,67,2016,composite,office,2013,
Fanya International Finance Building South,Kunming,CN,317.8,66,2016,composite,office,2013,
Blue Tower,Dubai,AE,317.6,72,2010,concrete,residential,2006,
Chongqing IFS T1,Chongqing,CN,316.3,63,2016,composite,hotel / office,2012,
Magnolias Waterfront Residences Tower 1,Bangkok,TH,315,70,2018,concrete,residential,2015,
Jumeirah Nanjing Hotel & International Youth Cultural Centre Tower 2,Nanjing,CN,315,67,2015,composite,hotel / office,2012,"120,000"
King Power MahaNakhon,Bangkok,TH,314,79,2016,concrete,residential / hotel,2011,"121,782"
Honglou Times Square,Lanzhou,CN,313,56,2018,composite,hotel / office,2012,
Bank of America Plaza,Atlanta,US,311.8,55,1992,composite,office,1991,"117,242"
Poly Pazhou C2,Guangzhou,CN,311,61,2017,composite,office,2013,"128,000"
Moi Center Tower A,Shenyang,CN,311,75,2014,composite,hotel / office,2008,
U.S. Bank Tower,Los Angeles,US,310.3,73,1990,steel,office,1987,
Ocean Heights,Dubai,AE,310,83,2010,concrete,residential,2007,"113,416"
Menara TM,Kuala Lumpur,MY,310,55,2001,concrete,office,1998,"148,643"
Pearl River Tower,Guangzhou,CN,309.4,71,2013,composite,office,2006,"165,840"
Fortune Center,Guangzhou,CN,309.4,68,2015,composite,office,2011,"210,477"
Emirates Tower Two,Dubai,AE,309,56,2000,concrete,hotel,,
Eurasia Tower,Moscow,RU,308.9,72,2015,composite,residential / hotel / office,2006,"212,900"
Guangfa Securities Headquarters,Guangzhou,CN,308,59,2018,composite,office,2013,"158,263"
Changsha IFS Tower T2,Changsha,CN,308,63,2018,composite,office,2013,
Burj Rafal,Riyadh,SA,307.9,68,2014,concrete,residential / hotel,2010,"92,626"
35 Hudson Yards,New York City,US,307.8,71,2019,concrete,residential / hotel,2015,"97,207"
The Franklin - North Tower,Chicago,US,306.9,60,1989,composite,office,1987,"157,934"
Cayan Tower,Dubai,AE,306.4,73,2013,concrete,residential,2006,"111,000"
One57,New York City,US,306.1,75,2014,steel/concrete,residential / hotel,2009,"79,299"
East Pacific Center Tower A,Shenzhen,CN,306,85,2013,composite,residential,2008,
The Shard,London,GB,306,73,2013,composite,residential / hotel / office,2009,"127,489"
JPMorgan Chase Tower,Houston,US,305.4,75,1982,composite,office,1978,"156,437"
Etihad Towers T2,Abu Dhabi,AE,305.3,80,2011,concrete,residential,2007,"83,738"
Northeast Asia Trade Tower,Incheon,KR,305,68,2011,composite,residential / hotel / office,2006,"140,000"
International Trade Center,Zhongshan,CN,305,65,2019,concrete,hotel / office,2016,
Shenzhen CFC Changfu Centre,Shenzhen,CN,304.3,68,2015,composite,office,2011,
Baiyoke Tower II,Bangkok,TH,304,85,1997,concrete,hotel,1990,
Wuxi Maoye City - Marriott Hotel,Wuxi,CN,303.8,68,2014,composite,hotel,2008,
Two Prudential Plaza,Chicago,US,303.3,64,1990,concrete,office,1988,"130,063"
Diwang International Fortune Center,Liuzhou,CN,303,72,2015,composite,office / hotel,2010,"61,062"
Greenland Puli Center,Jinan,CN,303,61,2014,composite,office,2011,"111,064"
"Jiangxi Nanchang Greenland Central Plaza, Parcel A",Nanchang,CN,303,59,2015,composite,office,2012,"110,000"
"Jiangxi Nanchang Greenland Central Plaza, Parcel B",Nanchang,CN,303,59,2015,composite,office,2012,"110,000"
Leatop Plaza,Guangzhou,CN,302.7,64,2012,composite,office,2008,"114,700"
Wells Fargo Plaza,Houston,US,302.4,71,1983,steel,office,1979,"170,362"
Kingdom Centre,Riyadh,SA,302.3,41,2002,steel/concrete,residential / hotel / office,1999,"185,000"
The Address,Dubai,AE,302.2,63,2008,concrete,residential / hotel,2005,"178,000"
Gate to the East,Suzhou,CN,301.8,66,2015,composite,residential / hotel / office,2004,"450,000"
Capital City Moscow Tower,Moscow,RU,301.8,76,2010,concrete,residential,2005,
Shenzhen Zhongzhou Holdings Financial Center,Shenzhen,CN,300.8,61,2015,composite,hotel / office,2008,
