Burj Khalifa,2004,"309,473"
Shanghai Tower,2009,"420,000"
Makkah Royal Clock Tower,2002,"310,638"
Ping An Finance Center,2010,"459,187"
Lotte World Tower,2011,"304,081"
One World Trade Center,2006,"325,279"
Guangzhou CTF Finance Centre,2010,"398,000"
CITIC Tower,2013,"437,000"
TAIPEI 101,1999,"198,347"
Shanghai World Financial Center,1997,"381,600"
International Commerce Centre,2002,"274,064"
Vincom Landmark 81,2015,"249,000"
Changsha IFS Tower T1,2013,"300,000"
Petronas Twin Tower 1,1992,"197,500"
Petronas Twin Tower 2,1992,"197,500"
Zifeng Tower,2005,"137,529"
Willis Tower,1970,"423,638"
KK100,2007,"220,000"
Guangzhou International Finance Center,2006,"250,095"
432 Park Avenue,2011,"65,497"
Marina 101,2006,"120,706"
Trump International Hotel & Tower,2005,"241,548"
Jin Mao Tower,1994,"289,500"
Princess Tower,2006,"171,175"
Al Hamra Tower,2005,"178,061"
Two International Finance Centre,2000,"185,805"
China Resources Tower,2014,"193,220"
23 Marina,2006,"139,596"
CITIC Plaza,1993,"205,239"
30 Hudson Yards,2014,"361,993"
Shun Hing Square,1993,"280,000"
Eton Place Dalian Tower 1,,"145,380"
Nanning Logan Century 1,2013,
Burj Mohammed Bin Rashid,2007,
Empire State Building,1930,"208,879"
Elite Residence,2007,"140,013"
Central Plaza,1989,"130,140"
Federation Tower,,
The Address Boulevard,2012,
Bank of China Tower,1985,"135,000"
Bank of America Tower,2004,"195,095"
Almas Tower,2005,"160,000"
Hanking Center Tower,2013,"185,806"
Gevora Hotel,2005,
JW Marriott Marquis Hotel Dubai Tower 1,2006,"97,944"
JW Marriott Marquis Hotel Dubai Tower 2,2006,"97,944"
Emirates Tower One,,
OKO - Residential Tower,2011,
The Torch,2005,"94,306"
Forum 66 Tower 1,2008,
The Pinnacle,2008,"155,635"
85 Sky Tower,1994,"306,337"
Aon Center,1970,"334,448"
The Center,1995,"130,032"
875 North Michigan Avenue,1965,"260,126"
Four Seasons Place,2013,
ADNOC Headquarters,2009,
Comcast Technology Center,2014,"123,560"
One Shenzhen Bay Tower 7,2014,"162,568"
Wuxi International Finance Square,2011,
