Burj Khalifa,Dubai,AE,828,309473,163,2004,2010,steel/concrete,office / residential / hotel
Shanghai Tower,Shanghai,CN,632,420000,128,2009,2015,composite,hotel / office
Makkah Royal Clock Tower,Mecca,SA,601,310638,120,2002,2012,steel/concrete,other / hotel
Ping An Finance Center,Shenzhen,CN,599.1,459187,115,2010,2017,composite,office
Lotte World Tower,Seoul,KR,554.5,304081,123,2011,2017,composite,hotel / residential / office / retail
One World Trade Center,New York City,US,541.3,325279,94,2006,2014,composite,office
Guangzhou CTF Finance Centre,Guangzhou,CN,530,398000,111,2010,2016,composite,hotel / residential / office
CITIC Tower,Beijing,CN,527.7,437000,109,2013,2018,composite,office
TAIPEI 101,Taipei,TW,508,198347,101,1999,2004,composite,office
Shanghai World Financial Center,Shanghai,CN,492,381600,101,1997,2008,composite,hotel / office
International Commerce Centre,Hong Kong,CN,484,274064,108,2002,2010,composite,hotel / office
Vincom Landmark 81,Ho Chi Minh City,VN,461.3,249000,81,2015,2018,composite,hotel / residential
Changsha IFS Tower T1,Changsha,CN,452.1,300000,94,2013,2018,composite,hotel / office
Petronas Twin Tower 1,Kuala Lumpur,MY,451.9,197500,88,1992,1998,composite,office
Petronas Twin Tower 2,Kuala Lumpur,MY,451.9,197500,88,1992,1998,composite,office
Zifeng Tower,Nanjing,CN,450,137529,66,2005,2010,composite,hotel / office
Willis Tower,Chicago,US,442.1,423638,108,1970,1974,steel,office
KK100,Shenzhen,CN,441.8,220000,100,2007,2011,composite,hotel / office
Guangzhou International Finance Center,Guangzhou,CN,438.6,250095,103,2006,2010,composite,hotel / office
432 Park Avenue,New York City,US,425.7,65497,85,2011,2015,concrete,residential
Marina 101,Dubai,AE,425,120706,101,2006,2017,concrete,residential / hotel
Trump International Hotel & Tower,Chicago,US,423.2,241548,98,2005,2009,concrete,residential / hotel
Jin Mao Tower,Shanghai,CN,420.5,289500,88,1994,1999,composite,hotel / office
Princess Tower,Dubai,AE,413.4,171175,101,2006,2012,steel/concrete,residential
Al Hamra Tower,Kuwait City,KW,412.6,178061,80,2005,2011,concrete,office
Two International Finance Centre,Hong Kong,CN,412,185805,88,2000,2003,composite,office
China Resources Tower,Shenzhen,CN,392.5,193220,68,2014,2018,composite,office
23 Marina,Dubai,AE,392.4,139596,88,2006,2012,concrete,residential
CITIC Plaza,Guangzhou,CN,390.2,205239,80,1993,1996,composite,office
30 Hudson Yards,New York City,US,386.6,361993,73,2014,2019,steel/concrete,office / retail
Shun Hing Square,Shenzhen,CN,384,280000,69,1993,1996,composite,office
Eton Place Dalian Tower 1,Dalian,CN,383.2,145380,80,,2016,composite,hotel / office
Nanning Logan Century 1,Nanning,CN,381.3,,82,2013,2018,composite,hotel / office
Burj Mohammed Bin Rashid,Abu Dhabi,AE,381.2,,88,2007,2014,concrete,residential
Empire State Building,New York City,US,381,208879,102,1930,1931,steel,office
Elite Residence,Dubai,AE,380.5,140013,87,2007,2012,concrete,residential
Central Plaza,Hong Kong,CN,373.9,130140,78,1989,1992,concrete,office
Federation Tower,Moscow,RU,373.7,,93,,2016,concrete,residential / office
The Address Boulevard,Dubai,AE,370,,73,2012,2017,concrete,residential / hotel / retail
Bank of China Tower,Hong Kong,CN,367.4,135000,72,1985,1990,composite,office
Bank of America Tower,New York City,US,365.8,195095,55,2004,2009,composite,office
Almas Tower,Dubai,AE,360,160000,68,2005,2008,concrete,office
Hanking Center Tower,Shenzhen,CN,358.9,185806,65,2013,2018,composite,office
Gevora Hotel,Dubai,AE,356.3,,75,2005,2017,steel/concrete,hotel
JW Marriott Marquis Hotel Dubai Tower 1,Dubai,AE,355.4,97944,82,2006,2012,concrete,hotel
JW Marriott Marquis Hotel Dubai Tower 2,Dubai,AE,355.4,97944,82,2006,2013,concrete,hotel
Emirates Tower One,Dubai,AE,354.6,,54,,2000,composite,office
OKO  Residential Tower,Moscow,RU,354.2,,90,2011,2015,concrete,residential / serviced apartments / hotel
The Torch,Dubai,AE,352,94306,86,2005,2011,concrete,residential
Forum 66 Tower 1,Shenyang,CN,350.6,,68,2008,2015,composite,hotel / office
The Pinnacle,Guangzhou,CN,350.3,155635,60,2008,2012,concrete,office
85 Sky Tower,Kaohsiung,TW,347.5,306337,85,1994,1997,steel,hotel / office / retail
Aon Center,Chicago,US,346.3,334448,83,1970,1973,steel,office
The Center,Hong Kong,CN,346,130032,73,1995,1998,steel,office
875 North Michigan Avenue,Chicago,US,343.7,260126,100,1965,1969,steel,residential / office
Four Seasons Place,Kuala Lumpur,MY,342.5,,65,2013,2018,concrete,residential / hotel
ADNOC Headquarters,Abu Dhabi,AE,342,,65,2009,2015,concrete,office
Comcast Technology Center,Philadelphia,US,341.7,123560,59,2014,2018,composite,hotel / office
One Shenzhen Bay Tower 7,Shenzhen,CN,341.4,162568,71,2014,2018,composite,residential / hotel / office
Wuxi International Finance Square,Wuxi,CN,339,,68,2011,2014,composite,hotel / office
Chongqing World Financial Center,Chongqing,CN,338.9,,72,2010,2015,composite,hotel / office
Mercury City Tower,Moscow,RU,338.8,173960,75,2006,2013,concrete,residential / office
Suning Plaza Tower 1,Zhenjiang,CN,338,,75,2012,2018,composite,hotel / serviced apartments / SOHO / office
Tianjin Modern City Office Tower,Tianjin,CN,338,,65,2011,2016,composite,office
Tianjin World Financial Center,Tianjin,CN,336.9,203953,75,2007,2011,composite,office
Wilshire Grand Center,Los Angeles,US,335.3,187027,73,2013,2017,composite,hotel / office
DAMAC Heights,Dubai,AE,335.1,89579,88,2011,2018,concrete,residential
Shimao International Plaza,Shanghai,CN,333.3,91600,60,2001,2006,concrete,hotel / office / retail
Rose Rayhaan by Rotana,Dubai,AE,333,50569,71,2004,2007,composite,hotel
Minsheng Bank Building,Wuhan,CN,331,110000,68,2001,2008,steel,office
China World Tower,Beijing,CN,330,280000,74,2005,2010,composite,hotel / office
Yuexiu Fortune Center Tower 1,Wuhan,CN,330,205600,68,2012,2017,composite,office
